CNPJ_CIA;DENOM_SOCIAL;SIT
08.773.135/0001-00;2W ECOBANK S.A.;ATIVO
11.396.633/0001-87;3A COMPANHIA SECURITIZADORA;CANCELADA
12.091.809/0001-55;3R PETROLEUM OLÉO E GÁS S.A.;ATIVO
01.547.749/0001-16;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;ATIVO
01.851.771/0001-55;524 PARTICIPAÇOES SA;ATIVO
01.919.008/0001-19;525 PARTICIPAÇOES SA;CANCELADA
92.659.614/0001-06;A J RENNER SA IND E PARTIP;CANCELADA
02.288.752/0001-25;A.P. PARTICIPAÇOES SA;CANCELADA
21.649.280/0001-33;ABC DADOS E INFORMATICA SA;CANCELADA
02.258.274/0001-00;ABC SUPERMERCADOS SA;CANCELADA
42.275.727/0001-21;ABC XTAL MICROELETRONICA SA;CANCELADA
34.033.779/0001-63;ABN AMRO ARRENDAMENTO MERCANTIL SA;CANCELADA
44.597.052/0001-62;ABRIL SA;CANCELADA
07.794.351/0001-60;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;CANCELADA
07.636.657/0001-99;ACO VERDE DO BRASIL S.A;ATIVO
18.451.005/0001-04;ACOPALMA CIA INDL ACOS V PALMA;CANCELADA
61.150.660/0001-43;ACOS ANHANGUERA SA;CANCELADA
60.890.688/0001-54;ACOS DO BRASIL SA IND E COM;CANCELADA
92.767.409/0001-56;AÇOS FINOS PIRATINI S/A;CANCELADA
60.852.316/0001-33;ACOS IPANEMA (VILLARES) SA;CANCELADA
60.664.810/0001-74;AÇOS VILLARES SA;CANCELADA
13.546.353/0001-33;ACRINOR ACRILONITRILA DO NE SA;CANCELADA
07.825.881/0001-29;ACRUX SECURITIZADORA S/A;CANCELADA
02.808.627/0001-07;ACTORI PARTICIPAÇÕES SA;CANCELADA
47.080.619/0001-17;AÇUCAR GUARANI S/A;CANCELADA
43.631.183/0001-56;ADEPAR ASSESSORIA ADM SERV SA;CANCELADA
11.029.808/0001-18;ADESENE ADESIVOS NO NORDESTE SA;CANCELADA
17.157.215/0001-13;ADUBOS VIANNA SA INDUSTRIA E COMERCIO;CANCELADA
10.345.009/0001-98;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;CANCELADA
08.827.501/0001-58;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;ATIVO
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;ATIVO
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;ATIVO
33.037.169/0001-75;AEROFOTO CRUZEIRO SA;CANCELADA
37.663.076/0001-07;AES Brasil Energia S/A;ATIVO
00.194.724/0001-13;AES BRASIL OPERAÇÕES S.A.;ATIVO
01.917.705/0001-30;AES ELPA SA;CANCELADA
04.128.563/0001-10;AES TIETÊ ENERGIA S.A;CANCELADA
04.128.563/0001-10;AES TIETÊ ENERGIA S.A;CANCELADA
02.998.609/0001-27;AES TIETE SA;CANCELADA
02.998.609/0001-27;AES TIETE SA;CANCELADA
02.808.481/0001-91;AETATIS SECURITIZADORA S.A.;CANCELADA
07.620.094/0001-40;AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;CANCELADA
10.338.320/0001-00;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;ATIVO
04.212.396/0001-91;AGASUS S.A.;ATIVO
61.573.796/0001-66;AGF BRASIL SEGUROS SA;CANCELADA
33.058.793/0001-59;AGGS INDS GRAFICAS SA;CANCELADA
61.442.752/0001-05;AGIP DISTRIBUIDORA SA;CANCELADA
07.698.047/0001-10;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;CANCELADA
88.610.324/0001-92;AGRALE SA;CANCELADA
11.040.082/0001-14;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;CANCELADA
88.070.990/0001-85;AGRILEASING SA ARREND MERC;CANCELADA
09.378.563/0001-92;AGRO PASTORIL CARIRI SA CARIRISA;CANCELADA
21.240.146/0001-84;AGROGALAXY PARTICIPAÇÕES S.A;ATIVO
21.444.765/0001-90;AGRONORTE SA;CANCELADA
03.143.716/0001-36;AGROPECUARIA TAMAKAVY SA;CANCELADA
27.157.474/0001-06;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;ATIVO
42.310.775/0001-03;ÁGUAS DO RIO 1 SPE S.A.;ATIVO
